시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,신호등_150m_개수
움사랑생태어린이집,대구광역시 북구 칠곡중앙대로86길 17-1 (읍내동),3,2,17,2,,0,35.9343405,128.5503227,37.86,,0
정원어린이집,대구광역시 북구 칠곡중앙대로126길 21-24 (읍내동),0,0,0,0,,0,35.94901771,128.555012,37.86,,0
칠곡초등학교,대구광역시 북구 칠곡중앙대로110길 5 (읍내동),7,10,71,22,,0,35.94517034,128.5517715,37.86,442.5,7
태전초등학교,대구광역시 북구 칠곡중앙대로75길 16 (태전동),9,10,40,12,,0,35.97397,128.5345,37.86,65.0,0
 아이세상유치원,대구광역시 달서구 선원로37남길 13 (이곡동),5,1,16,6,8.0,0,35.85954502,128.5133311,34.32,,7
난나유치원,"대구광역시 달서구 성서서로 330 (이곡동, 성서청남타운)",2,1,9,1,30.0,0,35.85406557,128.5003974,34.32,,11
성곡초등학교,대구광역시 달서구 선원남로 127 (이곡동),2,8,33,13,25.0,0,35.85809784,128.5135151,34.32,,13
성서초등학교,대구광역시 달서구 달구벌대로 1339 (이곡동),3,3,16,3,50.0,0,35.85196007,128.5144445,34.32,36.2,8
와룡초등학교,대구광역시 달서구 선원남로 22 (이곡동),1,2,12,4,25.0,0,35.85706992,128.5018556,34.32,539.8,9
이곡초등학교,대구광역시 달서구 선원남로 120 (이곡동),0,0,0,0,25.0,0,35.85684832,128.5137344,34.32,157.4,5
청아어린이집,대구광역시 달서구 이곡공원로1길 16 (이곡동),2,1,8,1,6.0,0,35.85620463,128.5082718,34.32,,14
코끼리어린이집,대구광역시 달서구 성서로72길 97-11 (이곡동),1,1,5,1,,0,35.84998,128.5128,34.32,,2
큰별어린이집,대구광역시 달서구 선원로23북길 16-10 (이곡동),1,0,4,2,6.0,0,35.86111393,128.5046831,34.32,,4
토마토어린이집,대구광역시 달서구 성서동로65길 24 (이곡동),2,0,7,5,8.0,0,35.85029219,128.5145444,34.32,,12
한솔유치원,"대구광역시 달서구 이곡동로 32 (이곡동, 성서와룡타운)",2,2,17,3,20.0,1,35.85286261,128.512059,34.32,,3
 대봉초등학교,대구광역시 남구 대봉로26길 33 (이천동),3,7,55,8,12.5,1,35.85166437,128.6048051,41.53,97.0,6
더플로우어린이집,대구광역시 남구 대봉로30길 40 (이천동),1,3,10,2,8.0,0,35.85214855,128.605307,41.53,,5
