시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,신호등_150m_개수,위험도_raw,위험도점수(0~100)
우정유치원,대구광역시 달서구 선원로14길 10 (신당동),3,1,12,2,8.0,0,35.85859122,128.4990642,35.93,69.30000000000001,11,0.35144121646483667,31.921499776157425
대구화교초등학교,대구광역시 중구 종로 34 (남일동),1,0,6,1,12.0,0,35.868893,128.5918827,29.56,69.30000000000001,0,0.3511597566598102,31.865908006639398
경북유치원,대구광역시 남구 중앙대로40길 10-1 (대명동),3,3,13,2,7.0,0,35.84992534,128.5912659,35.31,69.30000000000001,0,0.3507261361770762,31.78026263382257
세계제일어린이집,대구광역시 북구 복현로20길 73-1 (복현동),3,3,11,1,9.0,0,35.90617,128.6213,37.46,69.30000000000001,7,0.35014281322837,31.665049184726335
보노유치원,대구광역시 수성구 국채보상로 955-2 (만촌동),2,1,15,0,17.0,0,35.86791183,128.6353033,39.84,34.2,12,0.35009890807223204,31.656377376968763
상원어린이집,대구광역시 달서구 조암로 89-23 (월성동),0,0,0,0,8.0,0,35.82250939,128.5216688,32.97,2.8,11,0.3500902362849454,31.654664592437758
은하수어린이집,대구광역시 달서구 달구벌대로301길 58 (용산동),2,1,10,3,10.0,0,35.85234239,128.532161,33.27,69.30000000000001,3,0.34981650387473445,31.600599078334845
아이비어린이집,대구광역시 중구 남산로3안길 20 (남산동),2,1,7,3,8.0,0,35.80990595,128.5243747,30.92,69.30000000000001,0,0.3497941613443046,31.596186154073813
 소원어린이집,대구광역시 동구 아양로52길 17 (효목동),1,1,4,2,9.0,0,35.88666,128.6406,34.53,69.30000000000001,12,0.3497112127889012,31.57980279527271
토마토어린이집,대구광역시 달서구 성서동로65길 24 (이곡동),2,0,7,5,8.0,0,35.85029219,128.5145444,34.32,69.30000000000001,12,0.34938697551537734,31.515761950160925
