"시설명","시설종류","지정일자","주소","구역지정수","시설물 CCTV 수","시설물 도로표지판 수","시설물 과속방지턱 수","어린이보행자 사고건수 (2020년 ~ 2021년)"
"이노유치원","유치원(일반)","","대구광역시 달서구 조암남로20길 54 (월성동)","0","0","0","0","0"
"범어초등학교","초등학교","","대구광역시 수성구 달구벌대로489길 55 (범어동)","6","7","53","9","0"
"왕선초등학교","초등학교","2019년 07월 25일","대구광역시 달성군 다사읍 대실역북로 93 ","10","11","77","15","0"
"왕선초교병설유치원","유치원(병설)","","대구광역시 달성군 다사읍 대실역북로 93 ","0","0","0","0","0"
"해맑은유치원","유치원(일반)","2019년 07월 25일","대구광역시 달성군 다사읍 왕선로 41 ","0","0","0","0","0"
"천내초등학교","초등학교","","대구광역시 달성군 화원읍 성천로 192 ","5","7","59","11","0"
"월곡초등학교","초등학교","","대구광역시 달서구 상인로 40 (상인동)","2","2","18","3","0"
"박애어린이집","어린이집","","대구광역시 남구 대명서2길 45 (대명동)","0","0","0","0","0"
"수성어린이집","어린이집","","대구광역시 수성구 명덕로76길 80-1 (수성동1가)","1","1","10","1","0"
"대구해서초등학교","초등학교","","대구광역시 동구 팔공로 220-4 (봉무동)","3","2","37","1","0"
"대덕초등학교","초등학교","","대구광역시 남구 대명서로 28 (대명동)","9","16","88","19","0"
"현풍아이세상어린이집","어린이집","2014년 04월 17일","대구광역시 달성군 현풍읍 현풍중앙로10길 64 ","0","0","0","0","0"
"대구세천초등학교","초등학교","2016년 02월 24일","대구광역시 달성군 다사읍 세천로 182-9 ","2","5","32","4","0"
"대구세천유치원","유치원(병설)","","대구광역시 달성군 다사읍 세천로 182-9 ","0","0","0","0","0"
"상원초등학교","초등학교","","대구광역시 달서구 월곡로20길 15 (상인동)","7","7","36","11","0"
"꿈나무어린이집","어린이집","","대구광역시 수성구 들안로2안길 27-15 (두산동)","3","2","12","4","0"
"고산초등학교","초등학교","","대구광역시 수성구 달구벌대로 3067 (시지동)","3","2","38","14","0"
"경북대학교 사범대학 부설초등학교","초등학교","1997년 10월 10일","대구광역시 중구 달구벌대로 2150 (봉산동)","2","2","12","2","0"
"무산유치원","유치원(일반)","","대구광역시 동구 경안로103길 31 (서호동)","6","4","20","17","0"
