시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,읍면동,전체인구,어린이인구,신호등 300m,어린이비율,위험도점수
글나라어린이집,대구광역시 서구 국채보상로46길 31-27 (평리동),6,1,27,9,11.0,0,35.868026,128.557647,35.23,0.0,평리동,57243,5135,6,8.97,35.657004603703484
글로벌씨앤씨어린이집,대구광역시 달서구 월곡로 113-15 (도원동),4,2,13,5,8.0,1,35.80674904,128.5490396,31.93,0.0,도원동,32050,2301,15,7.18,39.960591138441984
금강 유치원,대구광역시 수성구 동대구로50길 108 (범어동),1,1,3,0,15.0,0,35.84938355,128.628768,36.68,20.2,범어동,71579,11095,0,15.5,45.18997587282162
금강어린이집,대구광역시 수성구 수성로75길 24 (수성동1가),3,1,9,6,7.5,0,35.857311,128.612566,35.25,0.0,수성동,40632,3829,17,9.42,33.97818786667542
금봉어린이집,대구광역시 달서구 야외음악당로39안길 61 (두류동),1,0,6,2,6.0,0,35.85183709,128.5522074,32.95,0.0,두류동,23121,1384,8,5.99,36.71273581781003
금빛유치원,대구광역시 동구 반야월로 208-1 (동호동),4,2,20,9,8.0,0,35.87172556,128.711336,44.54,0.0,국우동,30174,3460,20,11.47,34.03944364582307
기쁨어린이집,대구광역시 달서구 야외음악당로39길 41 (두류동),3,1,12,3,8.0,1,35.85384614,128.5543582,32.95,0.0,두류동,23121,1384,13,5.99,41.67164309499628
김샘학원,대구광역시 수성구 달구벌대로525길 6 (만촌동),1,1,5,2,10.0,0,35.85733531,128.650123,39.84,47.6,만촌동,53419,6265,9,11.73,40.67706869068072
꼬마또래 어린이집,대구광역시 남구 효동2길 16 (봉덕동),0,0,0,0,10.0,1,35.83768718,128.600747,37.09,0.0,봉덕동,35397,2674,7,7.55,47.510204813547865
꽃동산유치원,대구광역시 동구 동촌로48길 24-7 (방촌동),3,1,12,6,6.0,0,35.880095,128.665058,38.96,0.0,방촌동,17161,965,8,5.62,35.769174127737436
꿈꽃어린이집,대구광역시 동구 송라로 110 (신암동),1,0,6,0,8.0,0,35.876872,128.616848,34.16,0.0,신암동,59668,6097,8,10.22,39.58361926045842
꿈나무어린이집,대구광역시 중구 남산로1길 46-5 (남산동),2,1,9,3,9.0,0,35.85848306,128.5805841,33.32,0.0,남산동,34268,4017,17,11.72,35.598833136245496
꿈나무어린이집,대구광역시 수성구 들안로2안길 27-15 (두산동),3,2,12,4,6.0,0,35.832741,128.6192884,33.37,0.0,두산동,14729,1393,3,9.46,37.52692758393606
꿈이있는 숲속유치원(꿈숲유치원),대구광역시 달성군 다사읍 다사로 64 ,0,0,0,0,22.0,0,35.86624596,128.4591398,40.57,0.0,다사읍,90377,14360,5,15.89,46.08218108835745
나래영재어린이집,대구광역시 북구 대불서길 18-6 (산격동),0,0,0,0,6.0,0,35.90119246,128.6145454,35.18,0.0,산격동,33037,1409,11,4.26,36.59086864060505
나현유치원,대구광역시 동구 화랑로88길 90 (방촌동),3,2,20,8,15.0,0,35.87540844,128.6644884,38.96,0.0,방촌동,17161,965,1,5.62,37.18233461509259
난나유치원,"대구광역시 달서구 성서서로 330 (이곡동, 성서청남타운)",2,1,9,1,30.0,0,35.85406557,128.5003974,34.32,0.0,이곡동,34996,2224,11,6.36,38.40289222868058
